Board State,Action Probabilities,Player
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.026111791105671155,0.026111791105671155,0.024887800897592818,0.0012239902080783353,0.02937576499388005,0.026519787841697267,0.024887800897592818,0.0012239902080783353,0.026519787841697267,0.0012239902080783353,0.0012239902080783353,0.028151774785801713,0.0012239902080783353,0.029783761729906162,0.0012239902080783353,0.028967768257853937,0.028559771521827825,0.023663810689514484,0.0277437780497756,0.028559771521827825,0.0012239902080783353,0.024887800897592818,0.024887800897592818,0.0012239902080783353,0.024887800897592818,0.0012239902080783353,0.02529579763361893,0.028559771521827825,0.02447980416156671,0.026519787841697267,0.026519787841697267,0.024887800897592818,0.02447980416156671,0.029783761729906162,0.02447980416156671,0.02692778457772338,0.02692778457772338,0.031007751937984496,0.024887800897592818,0.0012239902080783353,0.024887800897592818,0.031415748674010605,0.0012239902080783353,0.024887800897592818,0.02447980416156671,0.02733578131374949,0.024887800897592818,0.0012239902080783353,0.028151774785801713",-1
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0","0.00830367734282325,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.09292210359826018,0.00830367734282325,0.00830367734282325,0.07947805456702253,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.08224594701463028,0.088572558323448,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.07631474891261368,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.088572558323448,0.00830367734282325,0.07315144325820483,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.00830367734282325,0,0.08659549228944247,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.00830367734282325,0.00830367734282325",1
"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0","0.04575892857142857,0.0033482142857142855,0.0033482142857142855,0.044270833333333336,0.05505952380952381,0.0033482142857142855,0.0033482142857142855,0.0033482142857142855,0.0033482142857142855,0.0033482142857142855,0,0.0033482142857142855,0.04873511904761905,0.04092261904761905,0.0033482142857142855,0.0033482142857142855,0.05282738095238095,0.0033482142857142855,0.0033482142857142855,0.0033482142857142855,0.041294642857142856,0.0033482142857142855,0.0033482142857142855,0.056919642857142856,0.043154761904761904,0.0033482142857142855,0.0033482142857142855,0.0033482142857142855,0.0033482142857142855,0.049107142857142856,0.04799107142857143,0.050967261904761904,0.046875,0.0033482142857142855,0.0033482142857142855,0.04575892857142857,0.04873511904761905,0.0033482142857142855,0.050595238095238096,0.0033482142857142855,0.044642857142857144,0,0.0033482142857142855,0.04575892857142857,0.046875,0.0033482142857142855,0.0033482142857142855,0.0033482142857142855,0.0033482142857142855",-1
"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0","0.009205983889528193,0.009205983889528193,0.009205983889528193,0.009205983889528193,0.07671653241273495,0.009205983889528193,0.09167625623321826,0.009205983889528193,0.07326428845416187,0.009205983889528193,0,0.009205983889528193,0.009205983889528193,0.07978519370924435,0.009205983889528193,0.009205983889528193,0.009205983889528193,0.009205983889528193,0.08745684695051784,0.009205983889528193,0.009205983889528193,0.009205983889528193,0.009205983889528193,0,0.009205983889528193,0.009205983889528193,0.009205983889528193,0.07633294975067127,0.009205983889528193,0.009205983889528193,0.009205983889528193,0.009205983889528193,0.009205983889528193,0.009205983889528193,0.08400460299194476,0.009205983889528193,0.009205983889528193,0.009205983889528193,0.009205983889528193,0.009205983889528193,0.009205983889528193,0,0.009205983889528193,0.08093594169543536,0.009205983889528193,0.009205983889528193,0.009205983889528193,0.009205983889528193,0.009205983889528193",1
"0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0","0.002969561989606533,0.05085374907201188,0.04602821083890126,0.002969561989606533,0.002969561989606533,0.002969561989606533,0,0.002969561989606533,0.04714179658500371,0.002969561989606533,0,0.002969561989606533,0.002969561989606533,0.04862657757980698,0.002969561989606533,0.002969561989606533,0.002969561989606533,0.002969561989606533,0.04714179658500371,0.04974016332590943,0.047512991833704527,0.002969561989606533,0.043429844097995544,0,0.044543429844097995,0.002969561989606533,0.047512991833704527,0.002969561989606533,0.038604305864884926,0.002969561989606533,0.002969561989606533,0.002969561989606533,0.049368968077208614,0.04417223459539718,0.002969561989606533,0.04862657757980698,0.046399406087602076,0.002969561989606533,0.04899777282850779,0.04417223459539718,0.002969561989606533,0,0.043429844097995544,0.04305864884929473,0.002969561989606533,0.002969561989606533,0.002969561989606533,0.002969561989606533,0.046399406087602076",-1
"0,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0","0.004242190512919399,0,0.004242190512919399,0.051677593521018125,0.004242190512919399,0.004242190512919399,0,0.004242190512919399,0.004242190512919399,0.004242190512919399,0,0.004242190512919399,0.05861935981488623,0.4485152333204782,0.004242190512919399,0.004242190512919399,0.05861935981488623,0.004242190512919399,0.05861935981488623,0.004242190512919399,0.004242190512919399,0.004242190512919399,0.004242190512919399,0,0.004242190512919399,0.004242190512919399,0.004242190512919399,0.004242190512919399,0.004242190512919399,0.004242190512919399,0.004242190512919399,0.054377169301966836,0.004242190512919399,0.004242190512919399,0.004242190512919399,0.004242190512919399,0.004242190512919399,0.05861935981488623,0.004242190512919399,0.004242190512919399,0.004242190512919399,0,0.004242190512919399,0.004242190512919399,0.05823370613189356,0.004242190512919399,0.004242190512919399,0.004242190512919399,0.004242190512919399",1
"0,-1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0","0.012154696132596685,0,0.012154696132596685,0.012154696132596685,0.011878453038674033,0.04116022099447514,0,0.012154696132596685,0.012154696132596685,0.012154696132596685,0,0.013535911602209945,0.012154696132596685,0,0.012154696132596685,0.012154696132596685,0.012154696132596685,0.012154696132596685,0.013535911602209945,0.03287292817679558,0.11988950276243093,0.03756906077348066,0.012154696132596685,0,0.012154696132596685,0.012154696132596685,0.042265193370165745,0.012154696132596685,0.012154696132596685,0.012154696132596685,0.012154696132596685,0.016574585635359115,0.04364640883977901,0.012154696132596685,0.012154696132596685,0.07513812154696133,0.012154696132596685,0.012154696132596685,0.11132596685082873,0.012154696132596685,0.044751381215469614,0,0.012154696132596685,0.012154696132596685,0.012154696132596685,0.012154696132596685,0.011878453038674033,0.04364640883977901,0.012154696132596685",-1
"0,-1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0","0.0027662517289073307,0,0.03803596127247579,0.03284923928077455,0.042185338865836794,0.042185338865836794,0,0.0027662517289073307,0.0027662517289073307,0.0027662517289073307,0,0.042185338865836794,0.043568464730290454,0,0.0027662517289073307,0.03699861687413555,0.0027662517289073307,0.048409405255878286,0.0027662517289073307,0.3457814661134163,0,0.0027662517289073307,0.0027662517289073307,0,0.03803596127247579,0.0027662517289073307,0.0027662517289073307,0.0027662517289073307,0.0027662517289073307,0.0027662517289073307,0.0027662517289073307,0.03941908713692946,0.0027662517289073307,0.03665283540802213,0.0338865836791148,0.0027662517289073307,0.0027662517289073307,0.0027662517289073307,0.0027662517289073307,0.0027662517289073307,0.03941908713692946,0,0.0027662517289073307,0.0027662517289073307,0.03699861687413555,0.0027662517289073307,0.0027662517289073307,0.0027662517289073307,0.031466113416320884",1
"0,-1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0","0.020815264527320035,0,0.013876843018213356,0.023995374385660597,0.025440878866724487,0.013876843018213356,0,0.017635154668979473,0.017346053772766695,0.013876843018213356,0,0.026886383347788378,0.013876843018213356,0,0.019080659150043366,0.017346053772766695,0.013876843018213356,0.026886383347788378,0.019080659150043366,0,0,0.013876843018213356,0.015611448395490026,0,0.08499566348655681,0.029777392309916162,0.028331887828852268,0.017635154668979473,0.013876843018213356,0.025440878866724487,0.028331887828852268,0.028331887828852268,0.03700491471523562,0.013876843018213356,0.026886383347788378,0.017635154668979473,0.013876843018213356,0.013876843018213356,0.03555941023417172,0.013876843018213356,0.031222896790980052,0,0.013876843018213356,0.029777392309916162,0.031222896790980052,0.08499566348655681,0.029777392309916162,0.017346053772766695,0.019080659150043366",-1
"0,-1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0","0.03558460421205519,0,0.0018155410312273058,0.03122730573710966,0.029774872912127815,0.05410312273057371,0,0.0018155410312273058,0.037037037037037035,0.02578068264342774,0,0.0018155410312273058,0.03340595497458242,0,0.033042846768336964,0.0018155410312273058,0.03594771241830065,0.0018155410312273058,0.0374001452432825,0,0,0.0018155410312273058,0.05410312273057371,0,0,0.037037037037037035,0.0018155410312273058,0.0018155410312273058,0.0018155410312273058,0.034858387799564274,0.03631082062454612,0.03340595497458242,0.0374001452432825,0.0018155410312273058,0.034858387799564274,0.03594771241830065,0.03413217138707335,0.0018155410312273058,0.0018155410312273058,0.036673928830791576,0.03376906318082789,0,0.0374001452432825,0.03631082062454612,0.03413217138707335,0.03631082062454612,0.0018155410312273058,0.034858387799564274,0.03558460421205519",1
